Subclass|Attribute XML Name|Attribute Edit Permission|Display Order|Label Characteristics
wm_ArtCraftArtCraft|wmArtCraftIsPowered|E|3100|NULL
wm_ArtCraftArtCraft|wmArtCraftIsPrimaryVariant|E|500|NULL
wm_ArtCraftArtCraft|wmArtCraftIsRecyclable|E|5600|NULL
wm_ArtCraftArtCraft|wmArtCraftIsReusable|E|5500|NULL
wm_ArtCraftArtCraft|wmArtCraftIsSelfAdhesive|E|6000|NULL
wm_ArtCraftArtCraft|wmArtCraftManufacturerPartNumber|E|1200|NULL
wm_ArtCraftArtCraft|wmArtCraftMaterial|E|1700|NULL
wm_ArtCraftArtCraft|wmArtCraftMetal|E|2300|NULL
wm_ArtCraftArtCraft|wmArtCraftOccasion|E|2400|NULL
wm_Baby|wmArtCraftOrganicCertifications|E|4100|NULL
wm_Baby|wmArtCraftPattern|E|4700|NULL
wm_Baby|wmArtCraftPlating|E|4400|NULL
wm_Baby|wmArtCraftPowerType|E|3200|NULL
wm_Baby|wmArtCraftRecommendedSurfaces|E|2700|NULL
wm_Baby|wmArtCraftRecommendedUses|E|2600|NULL
wm_Baby|wmArtCraftSkillLevel|E|5900|NULL
wm_Baby|wmArtCraftSubject|E|3000|NULL
wm_Baby|wmArtCraftTheme|E|2900|NULL
wm_Baby|wmArtCraftVariantAttributeNames|E|400|NULL
wm_Baby|wmBabyAgeGroup|E|1400|NULL
wm_Baby|wmBabyCapacity|E|2000|NULL
wm_Baby|wmBabyCharacter|E|3200|NULL
wm_Baby|wmBabyClothingAgeGroup|E|5200|NULL
wm_Baby|wmBabyClothingApparelCategory|E|5300|NULL
wm_Baby|wmBabyClothingFabricCareInstructions|E|4700|MANDATORY_BEFORE
wm_Baby|wmBabyClothingGender|E|5100|MANDATORY_BEFORE
wm_Baby|wmBabyCondition|E|3000|NULL
wm_Baby|wmBabyDiaposableBabydiaperType|E|4600|NULL
wm_Baby|wmBabyFabricCareInstructions|E|2200|NULL
wm_Baby|wmBabyFactoryId|E|700|NULL
wm_Baby|wmBabyFoodBabyFormulaLabel|E|4800|NULL
wm_Baby|wmBabyFoodCalories|E|5500|NULL
wm_Baby|wmBabyFoodCaloriesFromFat|E|5600|NULL
wm_Baby|wmBabyFoodChildrenUnder2Label|E|5000|NULL
wm_Baby|wmBabyFoodChildrenUnder4Label|E|5200|NULL
wm_Baby|wmBabyFoodFluidOuncesSupplying100Calories|E|5400|NULL
wm_Baby|wmBabyFoodIsBabyFormulaLabelRequired|E|4700|MANDATORY_BEFORE
wm_Baby|wmBabyFoodIsChildrenUnder2LabelRequired|E|4900|MANDATORY_BEFORE
wm_Baby|wmBabyFoodIsChildrenUnder4LabelRequired|E|5100|MANDATORY_BEFORE
wm_Baby|wmBabyFoodTotalCarbohydrate|E|5700|NULL
wm_BabyBabyClothing|wmBabyFoodTotalCarbohydratePercentageDailyValue|E|5800|NULL
wm_BabyBabyClothing|wmBabyFootwearAgeGroup|E|5200|MANDATORY_BEFORE
wm_BabyBabyClothing|wmBabyFootwearGender|E|5100|MANDATORY_BEFORE
wm_BabyBabyClothing|wmBabyFootwearShoeCategory|E|5000|MANDATORY_BEFORE
wm_BabyBabyFood|wmBabyFootwearShoeClosure|E|5400|NULL
wm_BabyBabyFood|wmBabyFootwearShoeStyle|E|5300|NULL
wm_BabyBabyFood|wmBabyFootwearShoeWidth|E|5500|NULL
wm_BabyBabyFood|wmBabyFurnitureAssemblyInstructions|E|4800|NULL
wm_BabyBabyFood|wmBabyFurnitureBedSize|E|5600|NULL
wm_BabyBabyFood|wmBabyFurnitureCollection|E|5700|NULL
wm_BabyBabyFood|wmBabyFurnitureFillMaterial|E|5000|NULL
wm_BabyBabyFood|wmBabyFurnitureFinish|E|5100|NULL
wm_BabyBabyFood|wmBabyFurnitureIsFoldable|E|5400|NULL
wm_BabyBabyFood|wmBabyFurnitureIsWheeled|E|5300|NULL
wm_BabyBabyFood|wmBabyFurnitureMaterial|E|4900|MANDATORY_BEFORE
wm_BabyBabyFood|wmBabyFurnitureMattressFirmness|E|5800|NULL
wm_BabyBabyFootwear|wmBabyGender|E|1300|NULL
wm_BabyBabyFootwear|wmBabyIsDisposable|E|3800|NULL
wm_BabyBabyFootwear|wmBabyIsFairTrade|E|3900|NULL
wm_BabyBabyFootwear|wmBabyIsMadeFromRecycledMaterial|E|2700|NULL
wm_BabyBabyFootwear|wmBabyIsPersonalizable|E|3500|NULL
wm_BabyBabyFootwear|wmBabyIsPortable|E|3600|NULL
wm_BabyBabyFurniture|wmBabyIsPrimaryVariant|E|500|NULL
wm_BabyBabyFurniture|wmBabyIsReusable|E|3700|NULL
wm_BabyBabyFurniture|wmBabyManufacturerPartNumber|E|1200|NULL
wm_BabyBabyFurniture|wmBabyMaterial|E|1900|NULL
wm_BabyBabyFurniture|wmBabyMaximumRecommendedAge|E|2600|NULL
wm_BabyBabyFurniture|wmBabyMaximumWeight|E|2400|NULL
wm_BabyBabyFurniture|wmBabyMinimumRecommendedAge|E|2500|NULL
wm_BabyBabyFurniture|wmBabyMinimumWeight|E|2300|NULL
wm_BabyBabyFurniture|wmBabyOccasion|E|3300|NULL
wm_BabyBabyToys|wmBabyOrganicCertifications|E|4000|NULL
wm_BabyBabyToys|wmBabyPattern|E|3100|NULL
wm_BabyBabyToys|wmBabyRecommendedUses|E|4500|NULL
wm_BabyBabyToys|wmBabyScreenSize|E|4300|NULL
wm_BabyBabyToys|wmBabySport|E|4100|NULL
wm_BabyBabyToys|wmBabyToysAnimalBreed|E|4900|NULL
wm_BabyBabyToys|wmBabyToysAnimalType|E|4800|NULL
wm_BabyBabyToys|wmBabyToysEducationalFocus|E|5100|NULL
wm_BabyBabyToys|wmBabyToysFillMaterial|E|5000|NULL
wm_BabyChildCarSeats|wmBabyToysIsPowered|E|5300|NULL
wm_BabyChildCarSeats|wmBabyToysIsRemoteControlIncluded|E|5800|NULL
wm_BabyChildCarSeats|wmBabyToysMakesNoise|E|5200|NULL
wm_BabyChildCarSeats|wmBabyToysPowerType|E|5400|NULL
wm_BabyChildCarSeats|wmBabyToysTheme|E|4700|NULL
wm_BabyChildCarSeats|wmBabyVariantAttributeNames|E|400|NULL
wm_BabyChildCarSeats|wmBeddingBedSize|E|5400|MANDATORY_BEFORE
wm_BabyStrollers|wmBeddingFabricCareInstructions|E|5500|MANDATORY_BEFORE
wm_BabyStrollers|wmBooksMagazinesAuthor|E|1100|NULL
