dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroAudioVisualConnection/kroConnectionType|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionTypeVV||||||||E|N|en|Connection Type|The types of Standard or Basic Connection Types that are available expressed as a code.|LoopGroup|Dropdown|1700|Left|60|Left||||Active||NULL|
kroBatteryLife|N|||integer||4|1||||||||||E|N|en|Battery Life|How long the battery lasts.|Horizontal|Integer|2200|Left|200|Left||||Active||NULL|
kroBatteryLifeUOM|N|||text||70|1|N|KroBatteryLifeUOMVV||||||||E|N|en|Battery Life UOM|Unit of Measure for Battery Life|Horizontal|Dropdown|2300|Left|200|Left||||Active||NULL|
kroBatterySize|N||1|text||70|1|N|KroBatterySizeVV||||||||E|N|en|Battery Size|Indicates the size of the battery.|Horizontal|Dropdown|600|Left|200|Left||||Active||NULL|
kroCellularCarrier|Y||100|text||70|1|N|||||||||E|N|en|Compatible Cellular Carriers|Indicates the compatible service network / carrier.|Horizontal|Text|3100|Left|200|Left||||Active||NULL|
kroFunctions|Y||100|text||70|1|N|||||||||E|N|en|Functions|A description of each distinct functionality.|Horizontal|Text|200|Left|200|Left||||Active||NULL|
kroHardDriveSize|N|||float|7|14|7||||||||||E|N|en|Hard Drive Size|Describes the hard drive that is included in the product.|Horizontal|Float|1400|Left|200|Left||||Active||NULL|
kroHardDriveSizeUOM|N|||text||70|1|N|KroMemoryUOMVV||||||||E|N|en|Hard Drive Size UOM|The unit of measurement associated with Hard Drive Size.|Horizontal|Dropdown|1500|Left|200|Left||||Active||NULL|
kroMaximumResolution|N|||text||70|1|N|KroDisplayResolutionVV||||||||E|N|en|Maximum Resolution|Identifies the maximum resolution of the product.|Horizontal|Dropdown|3300|Left|200|Left||||Active||NULL|
kroSupportedMemoryCards|Y||100|text||70|1|N|||||||||E|N|en|Supported Memory Cards|Supported memory card formats.|Horizontal|Text|2400|Left|200|Left||||Active||NULL|
