dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/displayScreenSize|Y||100|float|15|15|9||||uom|text||3|1|DimensionsUOM|E|N|en|Display/Screen Size|displayScreenSize<br>Qualifier: AVP219<br>Describes the viewable display/screen size of the product. Includes small screen products, includes cameras, etc.|Horizontal|Float|1600|Left|200|Left||||Active||NULL|
kroDisplayResolution|N|||text||30|1|N|KroDisplayResolutionVV||||||||E|N|en|Display Resolution|The display resolution of a television or computer display. This typically refers to the number of distinct pixels in each dimension that can be displayed.|Horizontal|Dropdown|1700|Left|200|Left||||Active||NULL|
kroHardDriveSize|N|||float|7|14|7||||||||||E|N|en|Hard Drive Size|Describes the hard drive that is included in the product.|Horizontal|Float|1800|Left|200|Left||||Active||MANDATORY_BEFORE|
kroHardDriveSizeUOM|N|||text||70|1|N|KroMemoryUOMVV||||||||E|N|en|Hard Drive Size UOM|The unit of measurement associated with Hard Drive Size.|Horizontal|Dropdown|1900|Left|200|Left||||Active||MANDATORY_BEFORE|
avp/networkingTechnologyType|Y||3|text||70|1|N|||||||||E|N|en|Networking Technology Type|networkingTechnologyType<br>Qualifier: AVP521<br>Describes the product's type of networking technology.|Horizontal|Text|2000|Left|200|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionType|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionTypeVV||||||||E|N|en|Connection Type|The types of Standard or Basic Connection Types that are available expressed as a code.|LoopGroup|Dropdown|2100|Left|60|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionInputDirection|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionInputDirectionVV||||||||E|N|en|Direction|The directions of connections (input, output) that are available expressed as a code value.|LoopGroup|Dropdown|2200|Left|60|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionQuantity|N|kroAudioVisualConnection|100|integer||4|1||||||||||E|N|en|Quantity|The number of audio visual connections available on the unit expressed as a code.|LoopGroup|Integer|2300|Left|60|Left||||Active||NULL|
avp/requiredPowerSupplyWattage|N|||float|5|7|2||||||||||E|N|en|Required Power Supply Wattage|requiredPowerSupplyWattage<br>Indicates the minimum required power supply wattage from the computer system power supply required to operate the product.|Horizontal|Float|2400|Left|200|Left||||Active||NULL|
kroBatteryLife|N|||integer||4|1||||||||||E|N|en|Battery Life|How long the battery lasts.|Horizontal|Integer|2500|Left|200|Left||||Active||NULL|
kroBatteryLifeUOM|N|||text||70|1|N|KroBatteryLifeUOMVV||||||||E|N|en|Battery Life UOM|Unit of Measure for Battery Life|Horizontal|Dropdown|2600|Left|200|Left||||Active||NULL|
avp/softwareTypesIncluded|Y||3|text||70|1|N|||||||||E|N|en|Software Types Included|softwareTypesIncluded<br>Qualifier: AVP654<br>Indicates the software types included with the product.|Horizontal|Text|2700|Left|200|Left||||Active||NULL|
kroSupportedMemoryCards|Y||100|text||70|1|N|||||||||E|N|en|Supported Memory Cards|Supported memory card formats.|Horizontal|Text|2800|Left|200|Left||||Active||NULL|
avp/hasMP3PlayerSoftware|N|||boolean|||||||||||||E|N|en|Has MP3 Player Software?|hasMP3PlayerSoftware<br>Qualifier: AVP772<br>Indicates whether or not the product has MP3 playing software installed.|Horizontal|Boolean|2900|Left|200|Left||||Active||NULL|
avp/hasNavigationCapability|N|||boolean|||||||||||||E|N|en|Has Navigation Capability?|hasNavigationCapability<br>Qualifier: AVP357<br>Indicates whether or not the portable video unit has navigation capability either via alternate input or by internal programming. Combination with GPS.|Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|
avp/hasTouchScreen|N|||boolean|||||||||||||E|N|en|Has Touch Screen?|hasTouchScreen<br>Qualifier: AVP410<br>Indicates whether or not the product has a touch screen.|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|
avp/hasSnoozeAlarm|N|||boolean|||||||||||||E|N|en|Has Snooze Alarm?|hasSnoozeAlarm<br>Qualifier: AVP393<br>Indicates whether or not the product has a snooze button.|Horizontal|Boolean|3200|Left|200|Left||||Active||NULL|
