dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
wmToolsBladeDiameter|N|||float|30|30|15|||M|uom|text||60|1|WMSizeUOMVV|E|N|en|Blade Diameter|Example: 7-1/4 in, 4 in (Please select a value from the drop-down below)|Horizontal|Float|4500|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsBladeLength|N|||float|30|30|15|||M|uom|text||60|1|WMSizeUOMVV|E|N|en|Blade Length|Example: 6 in; 123 in (Please select a value from the drop-down below)|Horizontal|Float|4600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsBladeShank|N|||text||4000|1||||||||||E|N|en|Blade Shank|Example: "T" Shank; "U" Shank (Please enter text with 4000 character max)|Horizontal|Text|4700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsBlowsPerMinute|N|||text||4000|1||||||||||E|N|en|Blows Per Minute|Example: 0 - 4,000 BPM; 2,500 BPM (Please enter text with 4000 character max)|Horizontal|Text|6100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsCaseIncluded|N|||boolean|||||||||||||E|N|en|Case Included|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsCfmAt40Psi|N|||float|30|30|15|||M|uom|text||60|1|WMPSIUOMVV|E|N|en|CFM @ 40 PSI|Example: 6.5 CFM, 14 CFM (Please select a value from the drop-down below)|Horizontal|Float|7000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsCfmAt90Psi|N|||float|30|30|15|||M|uom|text||60|1|WMPSIUOMVV|E|N|en|CFM @ 90 PSI|Example: 5.0 CFM; 12.5 CFM (Please select a value from the drop-down below)|Horizontal|Float|7100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsChargerIncluded|N|||boolean|||||||||||||E|N|en|Charger Included|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|4000|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsChargingTime|N|||float|30|30|15|||M|uom|text||60|1|WMResultTimeUOMVV|E|N|en|Charging Time|Example: 30 min; 45 min (Please select a value from the drop-down below)|Horizontal|Float|4100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsChuckSize|N|||float|30|30|15|||M|uom|text||60|1|WMSizeUOMVV|E|N|en|Chuck Size|Example: 3/8 in; 1/2 in (Please select a value from the drop-down below)|Horizontal|Float|5000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsChuckType|N|||text||4000|1||||||||||E|N|en|Chuck Type|Example: SDS; Keyed (Please enter text with 4000 character max)|Horizontal|Text|5100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsClearingWidth|N|||Text||4000|1|||M|uom|text||60|1|WMClearingWidthUOMVV|E|N|en|Clearing Width|Example: 11" (Please select a value from the drop-down below)|Horizontal|Text|8100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsColletSize|N|||float|30|30|15|||M|uom|text||60|1|WMSizeUOMVV|E|N|en|Collet Size|Example: 1/4 in; 3/8 in (Please select a value from the drop-down below)|Horizontal|Float|5200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsDecibelRating|N|||float|30|30|15|||M|uom|text||60|1|WMDecibelRatingUOMVV|E|N|en|Decibel Rating|Example: 71.5 dB; 67dB (Please select a value from the drop-down below)|Horizontal|Float|5900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsDiscSize|N|||float|30|30|15|||M|uom|text||60|1|WMSizeUOMVV|E|N|en|Disc Size|Example: 5 in; 6 in (Please select a value from the drop-down below)|Horizontal|Float|4900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsEngineDisplacement|N|||float|30|30|15|||M|uom|text||60|1|WMEngineDisplacementUOMVV|E|N|en|Engine Displacement|Example: 22 cc; 375 cc (Please select a value from the drop-down below)|Horizontal|Float|7700|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsEngineStarter|N|||text||4000|1||||||||||E|N|en|Engine Starter|Example: Pull Cord; Electric (Please enter text with 4000 character max)|Horizontal|Text|7900|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsFinish|N|||text||4000|1||||||||||E|N|en|Finish|Overall finish of the item.|Horizontal|Text|8200|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsHanding|N|||text||4000|1||||||||||E|N|en|Handing|Example: Left-Handed; Right-Handed (Please enter text with 4000 character max)|Horizontal|Text|3000|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsHardwareCleaningCareAndMaintenance|N|||text||4000|1||||||||||E|N|en|Cleaning, Care & Maintenance|Description of how the item should be cleaned and maintained. (Please enter text with 4000 character max)|Horizontal|Text|2100|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsHardwareFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsHardwareIsFireResistant|N|||boolean|||||||||||||E|N|en|Is Fire-Resistant|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsHardwareIsIndustrial|N|||boolean|||||||||||||E|N|en|Is Industrial|Indicates that an item can be used in an industrial setting or has an industrial application.|Horizontal|Boolean|1700|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsHardwareIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsHardwareMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|1300|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsHardwareRecommendedUses|Y||3|text||4000|1||||||||||E|N|en|Recommended Uses|Further clarification of what is the item may be used for.|Horizontal|Text|1600|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsHardwareVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|Walmart_Initial_Load
wmToolsHasAutomaticTransferSwitch|N|||boolean|||||||||||||E|N|en|Has Automatic Transfer Switch|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|8000|Left|200|Left||||Active||NULL|Walmart_Initial_Load
wmToolsHasCfl|N|||boolean|||||||||||||E|N|en|Has CFL|Indicates if any part of the item is or has a compact fluorescent light bulb.  |Horizontal|Boolean|2300|Left|200|Left||||Active||MANDATORY_BEFORE|Walmart_Initial_Load
wmToolsHasElectricBrake|N|||boolean|||||||||||||E|N|en|Has Electric Brake|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|4200|Left|200|Left||||Active||NULL|Walmart_Initial_Load
