dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroBatteryLife|N|||integer||4|1||||||||||E|N|en|Battery Life|How long the battery lasts.|Horizontal|Integer|2000|Left|200|Left||||Active||NULL|194; PI152_QA10
kroBatteryLifeUOM|N|||text||70|1|N|KroBatteryLifeUOMVV||||||||E|N|en|Battery Life UOM|Unit of Measure for Battery Life|Horizontal|Dropdown|2100|Left|200|Left||||Active||NULL|195; PI152_QA10
kroDisplayResolution|N|||text||30|1|N|KroDisplayResolutionVV||||||||E|N|en|Display Resolution|The display resolution of a television or computer display. This typically refers to the number of distinct pixels in each dimension that can be displayed.|Horizontal|Dropdown|1200|Left|200|Left||||Active||NULL|172; PI152_QA09
kroAudioVisualConnection/kroConnectionType|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionTypeVV||||||||E|N|en|Connection Type|The types of Standard or Basic Connection Types that are available expressed as a code.|LoopGroup|Dropdown|1600|Left|60|Left||||Active||NULL|180
kroAudioVisualConnection/kroConnectionInputDirection|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionInputDirectionVV||||||||E|N|en|Direction|The directions of connections (input, output) that are available expressed as a code value.|LoopGroup|Dropdown|1700|Left|60|Left||||Active||NULL|181
kroAudioVisualConnection/kroConnectionQuantity|N|kroAudioVisualConnection|100|integer||4|1||||||||||E|N|en|Quantity|The number of audio visual connections available on the unit expressed as a code.|LoopGroup|Integer|1800|Left|60|Left||||Active||NULL|182
kroMaximumResolution|N|||text||70|1|N|KroDisplayResolutionVV||||||||E|N|en|Maximum Resolution|Identifies the maximum resolution of the product.|Horizontal|Dropdown|2700|Left|200|Left||||Active||NULL|246; PI152_QA11; PI152_QA13
kroHardDriveSize|N|||float|7|14|7||||||||||E|N|en|Hard Drive Size|Describes the hard drive that is included in the product.|Horizontal|Float|1300|Left|200|Left||||Active||NULL|173; PI152_QA11
kroHardDriveSizeUOM|N|||text||70|1|N|KroMemoryUOMVV||||||||E|N|en|Hard Drive Size UOM|The unit of measurement associated with Hard Drive Size.|Horizontal|Dropdown|1400|Left|200|Left||||Active||NULL|174; PI152_QA11
kroSupportedMemoryCards|Y||100|text||70|1|N|||||||||E|N|en|Supported Memory Cards|Supported memory card formats.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|211
kroShutterSpeed|Y||999|float|7|14|7||||||||||E|N|en|Shutter Speeds|Shutter speed, measured in seconds.|Horizontal|Float|2900|Left|200|Left||||Active||NULL|248
kroApertureMin|N|||float|7|14|7||||||||||E|N|en|Minimum Aperture|Minimum f-stop / aperture. Displayed as f/3.5-f/5.6 (in concert with maximum f-stop).|Horizontal|Float|3000|Left|200|Left||||Active||NULL|249
kroApertureMax|N|||float|7|14|7||||||||||E|N|en|Maximum Aperture|Maximum f-stop / aperture. Displayed as f/3.5-f/5.6 (in concert with minimum f-stop).|Horizontal|Float|3100|Left|200|Left||||Active||NULL|250
kroWhiteBalanceMode|Y||999|text||255|1|N|||||||||E|N|en|White Balance Modes|The white-balance modes provided by this camera.|Horizontal|Text|3200|Left|200|Left||||Active||NULL|251
kroFocalModes|Y||100|text||70|1|N|||||||||E|N|en|Focal Modes|The focal modes facilitated by this camera.|Horizontal|Text|3400|Left|200|Left||||Active||NULL|253
kroOperationModes|Y||100|text||70|1|N|||||||||E|N|en|Operation Modes|The operational modes facilitated by this camera.|Horizontal|Text|3500|Left|200|Left||||Active||NULL|254
kroImageSensorWidth|N||1|float|15|15|15|||M|uom|text||30|1|KroComponentLinearUOM|E|N|en|Image Sensor Width|Indicates the size of the sensor on this product.|Horizontal|Float|4200|Left|200|Left||||Active||NULL|262
kroImageSensorHeight|N||1|float|15|15|15|||M|uom|text||30|1|KroComponentLinearUOM|E|N|en|Image Sensor Height|Indicates the size of the sensor on this product.|Horizontal|Float|4300|Left|200|Left||||Active||NULL|264
