dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
mclCubiscan/mclCubiscanProductType|N|mclCubiscan|100|text||2|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item.|LoopGroupRo |Text|2700|Left|100|Left||||Active||NULL|added to IM 6.5 - McLane
mclCubiscan/mclCubiscanWeight|N|mclCubiscan|100|float|7|7|2|||M|uom|text||10|1|mcl_CubiscanWeights|R|N|en|Cubiscan Weight & UOM|Weight of case,ounces or pounds.  Example: 15.2|LoopGroupRo |Float|3200|Left|200|Left|100|||Active||NULL|added to IM 6.5 - McLane
mclCubiscan/mclCubiscanWidth|N|mclCubiscan|100|float|5|5|2||||||||||R|N|en|Cubiscan Width|Width of case, always in inches.  Example: 10.15|LoopGroupRo |Float|3000|Left|100|Left||||Active||NULL|added to IM 6.5 - McLane
mclCubiscanCode|N|||text||38|1||mcl_CubiscanCodes||||||||R|N|en|CUBISCAN CODE|Codes to track if an item has been cubiscaned.  Example: Cubiscaned|Horizontal|Dropdown|2500|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclCubiscanInformationBanner|N||||||||||||||||R|N|en|Cubiscan Information|Cubiscan Information|Banner|Label|2400|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclGeneralInfoBanner|N||||||||||||||||R|N|en|General Information|General Information|Banner|Label|100|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclItemType|N|||text||10|1||mcl_ItemTypes||||||||R|N|en|Item Type|Grocery or GMP.  Example: Grocery|Horizontal|Dropdown|2100|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclLogo|N|||boolean|||||||||||||R|N|en|Logo|Private label item.  Example: check mark|Horizontal|Boolean|1800|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclOrderSellingInfoBanner|N||||||||||||||||R|N|en|Order & Selling Information|Order & Selling Information|Banner|Label|1400|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclPack|N|||integer||4|1||||||||||R|N|en|Pack|number of retails in an inner.  Example: 12|Horizontal|Integer|3400|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclPackagingInformationBanner|N||||||||||||||||R|N|en|Packaging Information|Packaging Information|Banner|Label|3300|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclPromoCode|N|||boolean|||||||||||||R|N|en|Promo Code|Promo indicator for Cigs.  Example: check mark|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclRebateCode|N|||text||36|1||mcl_RebateCodes||||||||R|N|en|Rebate Code|Code for items we receive rebates for.  Example: Dr. Pepper 5 gal|Horizontal|Dropdown|1900|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclRepack|N|||integer||5|1||||||||||R|N|en|Repack|Number of inner's in a case.  Example: 8|Horizontal|Integer|3500|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclRequester|N|||text||20|1||||||||||R|N|en|Requestor|McLane person requesting the item|Horizontal|Text|800|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclRetailerInfoBanner|N||||||||||||||||R|N|en|Retailer Information|Retailer Information|Banner|Label|600|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
mclSellbyDays|N|||integer||3|1||||||||||R|N|en|Sell By Days|Number of days to sell by. Example: 30|Horizontal|Integer|2300|Left|200|Left||||Active||NULL|added pi 1.2 pi print
mclSellType|N|||text||15|1||mcl_SellTypes||||||||R|N|en|Sell Type|Sell type to customers.  Example: Full Case|Horizontal|Dropdown|1700|Left|200|Left||||Active||NULL|added to IM 6.5 - McLane
